전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,수정전국매출액,개봉일관객수,개봉일매출액,개봉일매출비율,배우가중치,감독가중치,영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,타겟
1210,4884290250100000000,6246849,12987928301.0,1606486,488.42902501,250237.0,1876614700.0,56.9,1.9,0.7,사도,2015-09-16,1.0,기타,2,0.0,1.0,1,0
1202,4854735360700000000,6126488,13751315607.0,1669524,485.47353607,471801.0,3606583800.0,43.0,1.7,0.3,미션 임파서블: 로그네이션,2015-07-30,0.0,액션,1,0.0,1.0,1,1
706,5033363579500000000,6125154,16707645195.0,1968882,503.33635795,78058.0,605036200.0,24.3,1.8,0.3,킹스맨 : 시크릿 에이전트,2015-02-11,0.0,액션,0,1.0,0.0,1,1
1013,4556062033000000000,6043458,9906059630.0,1265879,455.6062033,153400.0,1011947000.0,31.5,1.2,0.1,연평해전,2015-06-24,1.0,드라마,2,0.0,1.0,1,1
528,4410654630200000000,5926948,15810485000.0,2026998,441.06546302,149246.0,1105372500.0,38.6,1.0,0.4,인셉션,2010-07-21,0.0,드라마,2,1.0,0.0,1,1
696,4304499900000000000,5911890,16482217500.0,2190090,430.44999,283842.0,2077372000.0,24.4,2.1,0.3,레미제라블,2012-12-19,0.0,드라마,2,1.0,0.0,1,0
2100,5149127222300000000,5801069,15433909683.0,1650932,514.91272223,461134.0,3957930530.0,85.6,1.5,0.1,캡틴 마블,2019-03-06,0.0,액션,2,1.0,0.0,1,0
1972,4977071103700000000,5661128,12526470537.0,1342621,497.70711037,972161.0,6929271100.0,74.5,1.1,0.2,쥬라기 월드: 폴른 킹덤,2018-06-06,0.0,액션,2,1.0,0.0,1,0
1102,4424109931600000000,5636259,9885607016.0,1207318,442.41099316,308298.0,2252747600.0,34.2,0.9,0.2,청년경찰,2017-08-09,1.0,액션,1,0.0,1.0,1,0
779,3959303850000000000,5602543,10079982000.0,1356936,395.930385,293917.0,1973544000.0,28.7,1.1,0.2,숨바꼭질,2013-08-14,1.0,기타,1,0.0,1.0,1,0
964,4434414110900000000,5593551,10625578869.0,1304324,443.44141109,267112.0,1980965300.0,16.7,2.3,0.3,덕혜옹주,2016-08-03,1.0,기타,2,0.0,1.0,1,0
743,3986671288100000000,5583596,11349884881.0,1525130,398.66712881,215832.0,1475326500.0,22.9,2.3,0.2,더 테러 라이브,2013-07-31,1.0,범죄,1,0.0,1.0,1,0
1290,4780069882600000000,5546792,13625824326.0,1502391,478.00698826,274719.0,2363615600.0,74.1,0.9,0.1,쥬라기 월드,2015-06-11,0.0,액션,2,1.0,0.0,1,1
572,4080086760200000000,5507106,12204373500.0,1563042,408.00867602,127542.0,909000000.0,38.2,2.3,0.3,의형제,2010-02-04,1.0,드라마,1,0.0,1.0,1,0
949,3929800517900000000,5496547,11031549179.0,1477594,392.98005179,210052.0,1441844500.0,48.4,2.3,0.2,감시자들,2013-07-03,1.0,범죄,1,0.0,1.0,1,0
1775,4746544318500000000,5447826,13821594585.0,1503229,474.65443185,404151.0,3423533400.0,71.3,0.6,0.2,앤트맨과 와스프,2018-07-04,0.0,액션,2,1.0,0.0,1,1
1503,4748253039600000000,5446379,15365072146.0,1657823,474.82530396,435068.0,2859676100.0,63.9,1.2,0.1,닥터 스트레인지,2016-10-26,0.0,액션,2,1.0,0.0,1,0
1088,4239534709200000000,5440945,11618059792.0,1428491,423.95347092,191090.0,1454751000.0,59.8,2.5,0.2,검은 사제들,2015-11-05,1.0,기타,1,0.0,1.0,1,1
1540,4633533402600000000,5440186,10028662426.0,1146191,463.35334026,122859.0,977031400.0,27.7,0.5,0.3,안시성,2018-09-19,1.0,기타,2,0.0,1.0,1,0
1620,4588314345700000000,5398994,13105688057.0,1468761,458.83143457,630461.0,5055433500.0,65.0,0.5,0.1,블랙 팬서,2018-02-14,0.0,액션,2,1.0,0.0,1,0
1310,4348607853500000000,5316325,11144618435.0,1318493,434.86078535,288966.0,2197763200.0,45.7,1.8,0.2,더 킹,2017-01-18,1.0,범죄,1,0.0,1.0,1,1
