영화명,해당일의 관객수,개봉일,당일 매출액,해당일자 매출총액 대비 해당 영화의 매출비율
오싹한 연애,60615,2011-12-01,426782500,23.3
결정적 한방,5350,2011-12-07,38149000,2.5
블리츠,5379,2011-12-07,39535000,2.6
틴틴 : 유니콘호의 비밀,26272,2011-12-07,227288500,14.7
미션임파서블:고스트프로토콜,264719,2011-12-15,1924102500,65.3
앨빈과 슈퍼밴드3,9569,2011-12-15,61235000,2.1
마이 웨이,110253,2011-12-21,797132000,24.9
셜록홈즈 : 그림자 게임,71772,2011-12-21,507951500,15.9
퍼펙트 게임,33304,2011-12-21,238598000,7.5
극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,11046,2011-12-22,74625000,2.3
극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,11125,2011-12-22,73828500,2.3
프렌즈: 몬스터섬의비밀,32063,2011-12-29,232186000,6.0
원더풀 라디오,60371,2012-01-05,429958500,19.0
다크아워,22325,2012-01-05,179605000,8.0
밀레니엄 : 여자를 증오한 남자들,11033,2012-01-11,85037500,4.7
코알라 키드 : 영웅의 탄생,8326,2012-01-12,55618500,2.5
장화신은 고양이,79382,2012-01-12,688623000,30.8
페이스메이커,22553,2012-01-18,159766000,8.3
부러진 화살,30872,2012-01-18,222597500,11.6
우리는 동물원을 샀다,11972,2012-01-18,82010000,4.3
네버엔딩 스토리,20049,2012-01-18,144287500,7.5
댄싱퀸,46500,2012-01-18,337564000,17.6
잃어버린 세계를 찾아서 2: 신비의 섬,46776,2012-01-19,377188000,16.0
점박이:한반도의 공룡3D,35458,2012-01-26,322727000,10.5
파파,25252,2012-02-01,173001500,8.5
범죄와의 전쟁: 나쁜놈들 전성시대,166041,2012-02-02,1235533500,45.0
해피 피트 2,9570,2012-02-02,75690500,2.8
하이힐을 신고 달리는 여자,6303,2012-02-02,45916500,1.7
워 호스,10906,2012-02-09,75112000,3.4
팅커 테일러 솔저 스파이,11877,2012-02-09,83706500,3.7
토르: 마법망치의 전설,7697,2012-02-09,55716000,2.5
우먼 인 블랙,13589,2012-02-16,95750500,4.0
더 그레이,32199,2012-02-16,231367500,9.7
하울링,103979,2012-02-16,735723000,30.8
고스트 라이더 : 복수의 화신,13001,2012-02-16,90743000,3.8
언더월드 4: 어웨이크닝,18357,2012-02-22,168949500,9.0
레전드 오브 래빗,4663,2012-02-22,31125500,1.6
맨 온 렛지,28012,2012-02-22,201023500,10.7
철의 여인,8690,2012-02-23,61866000,3.0
디스 민즈 워,35337,2012-02-29,250591500,8.6
돌아온 파워레인저 미라클포스,7961,2012-02-29,51495500,1.8
러브픽션,165606,2012-02-29,1188449500,40.6
액트 오브 밸러: 최정예 특수부대,14145,2012-02-29,99483000,3.4
세이프 하우스,13945,2012-02-29,98466500,3.4
화차,74855,2012-03-08,545624000,34.0
존 카터: 바숨 전쟁의 서막,41747,2012-03-08,378683500,23.6
서약,37219,2012-03-14,275989500,15.0
크로니클,31489,2012-03-15,229475500,16.1
저스티스,4592,2012-03-15,32176000,2.3
가비,23878,2012-03-15,166451500,11.7
콘트라밴드,6742,2012-03-22,47873500,3.2
건축학개론,66580,2012-03-22,473831500,31.4
언터처블: 1%의 우정,46216,2012-03-22,330076500,21.9
타이탄의 분노,71799,2012-03-29,629047000,31.5
시체가 돌아왔다,47998,2012-03-29,346333500,17.3
헝거게임: 판엠의 불꽃,39051,2012-04-05,279939000,16.8
코난: 암흑의 시대,4209,2012-04-05,30434000,1.8
간기남,103609,2012-04-11,800772500,11.1
배틀쉽,387879,2012-04-11,2837840000,39.2
인류멸망 보고서,34502,2012-04-11,248226000,3.4
하트 브레이커,4082,2012-04-19,27916000,2.2
킹메이커,4861,2012-04-19,34565000,2.7
은교,60122,2012-04-25,422294000,19.6
어벤져스,214105,2012-04-26,1869885500,57.9
짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,1997,2012-04-26,12924000,0.4
"봄, 눈",1899,2012-04-26,12584500,0.4
백설공주,26499,2012-05-03,185493000,7.1
코리아,68660,2012-05-03,479262000,18.3
로렉스,5348,2012-05-03,34094500,1.3
다크 섀도우,57275,2012-05-10,415465500,20.0
두레소리,2113,2012-05-10,12572000,0.6
데인저러스 메소드,2489,2012-05-10,17285500,0.8
돈의 맛,118042,2012-05-17,835563000,34.3
콜드 라잇 오브 데이,10249,2012-05-17,71968500,3.0
내 아내의 모든 것,87798,2012-05-17,626300000,25.7
레이드 : 첫번째 습격,2600,2012-05-17,18628000,0.8
머신건 프리처,2150,2012-05-24,14531000,0.6
맨 인 블랙 3,141261,2012-05-24,1198527000,48.4
차형사,48130,2012-05-30,343191000,15.9
스노우 화이트 앤 더 헌츠맨,30024,2012-05-30,211254500,9.8
미확인 동영상 : 절대클릭금지,16702,2012-05-30,116850500,5.4
다른나라에서,1843,2012-05-31,13163400,0.5
마다가스카3 : 이번엔 서커스다!,226836,2012-06-06,1791207500,18.4
후궁 : 제왕의 첩,272166,2012-06-06,2084410000,21.4
프로메테우스,177078,2012-06-06,1605118000,16.5
사다코 3D : 죽음의 동영상,16432,2012-06-14,158061000,7.6
더 씽,5038,2012-06-14,35245000,1.7
락아웃: 익스트림미션,33802,2012-06-14,238500500,11.4
페이스 블라인드,11849,2012-06-21,83055000,4.0
미쓰GO,58579,2012-06-21,408312500,19.8
아부의 왕,48745,2012-06-21,335248000,16.3
어메이징 스파이더맨,272155,2012-06-28,2368466000,71.7
캐빈 인 더 우즈,23403,2012-06-28,164739500,5.0
연가시,191274,2012-07-05,1340818500,40.8
미드나잇 인 파리,13947,2012-07-05,97261000,3.0
더 레이븐,18886,2012-07-05,133077500,4.0
헤이와이어,7147,2012-07-05,48908500,1.5
모모와 다락방의 수상한 요괴들,6883,2012-07-05,46445500,1.4
두 개의 달,30747,2012-07-12,210069500,8.3
나는 공무원이다,25462,2012-07-12,174089500,6.9
베스트 엑조틱 메리골드 호텔,5411,2012-07-12,36150000,1.4
스트리트 댄스 2: 라틴배틀,4592,2012-07-12,31481000,1.2
리미트리스,10180,2012-07-12,68895000,2.7
5백만불의 사나이,15351,2012-07-19,104415000,2.4
명탐정 코난: 11번째 스트라이커,13507,2012-07-19,87312000,2.0
다크 나이트 라이즈,441089,2012-07-19,3145772500,71.5
아이스 에이지 4: 대륙 이동설,43227,2012-07-25,321662000,6.1
극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,3673,2012-07-25,22841500,0.4
도둑들,436596,2012-07-25,3018752500,57.4
무서운 이야기,20457,2012-07-25,146309000,2.8
피라냐 3DD,11698,2012-08-01,101707000,1.5
새미의 어드벤쳐 2,68406,2012-08-01,546963000,8.3
락 오브 에이지,15897,2012-08-02,110810500,1.6
빌리와 용감한 녀석들 3D,15196,2012-08-08,100644000,2.2
바람과 함께 사라지다,172048,2012-08-08,1183902000,26.0
나는 왕이로소이다,65664,2012-08-08,418311000,9.2
아메리칸 파이: 19금 동창회,2219,2012-08-09,15699000,0.3
스텝업4 : 레볼루션,79915,2012-08-15,619707000,5.7
토탈 리콜,250229,2012-08-15,1856863000,17.1
R2B: 리턴투베이스,206793,2012-08-15,1503244500,13.9
이웃사람,140700,2012-08-22,996867500,30.5
레드라이트,8337,2012-08-23,57260500,1.7
공모자들,97419,2012-08-29,682434500,25.2
577 프로젝트,10672,2012-08-30,74444000,2.6
미운오리새끼,4352,2012-08-30,29827000,1.1
링컨: 뱀파이어 헌터,46858,2012-08-30,360949000,12.8
익스펜더블 2,35456,2012-09-06,247331000,12.3
본 레거시,95550,2012-09-06,668125500,33.3
피에타,8672,2012-09-06,59581000,3.0
늑대아이,6064,2012-09-13,41223000,1.7
"광해, 왕이 된 남자",169516,2012-09-13,1172310500,46.9
레지던트 이블 5 : 최후의 심판,57821,2012-09-13,492792000,19.7
인시디어스,5373,2012-09-13,37636500,1.5
럼 다이어리,2225,2012-09-20,15966500,0.7
간첩,68841,2012-09-20,450784000,21.1
테드: 황금도시 파이티티를 찾아서,2624,2012-09-20,15968500,0.7
런던 블러바드,1757,2012-09-20,11990500,0.6
19곰 테드,16024,2012-09-27,112712000,3.9
메리다와 마법의 숲,9784,2012-09-27,67650500,2.3
테이큰 2,182891,2012-09-27,1288811000,44.4
나이트폴,1766,2012-09-27,12774000,0.4
점쟁이들,172469,2012-10-03,1242898000,13.2
회사원,106990,2012-10-11,759283000,34.8
프랑켄위니,2385,2012-10-11,20608000,0.9
루퍼,33094,2012-10-11,233054500,10.7
위험한 관계,26832,2012-10-11,181205500,8.3
용의자X,84818,2012-10-18,587347000,30.4
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,5974,2012-10-18,67413500,3.5
조조-황제의 반란,8820,2012-10-18,59821000,3.1
로우리스: 나쁜 영웅들,10562,2012-10-18,72354000,3.7
강철대오:구국의 철가방,26768,2012-10-25,179516000,12.0
비정한 도시 감독판,4707,2012-10-25,32039500,2.1
파라노말 액티비티4,7195,2012-10-25,50105500,3.4
007 스카이폴,201303,2012-10-26,1506677500,48.9
파괴자들,2396,2012-10-31,16335000,0.7
복숭아나무,4547,2012-10-31,29431000,1.3
아르고,10631,2012-10-31,72477000,3.1
늑대소년,128787,2012-10-31,877499000,37.4
내가 살인범이다,96151,2012-11-08,679366500,17.7
업사이드 다운,31744,2012-11-08,207685500,5.4
나우이즈굿,5905,2012-11-08,38263500,1.0
