영화명,해당일의 관객수,개봉일,당일 매출액,해당일자 매출총액 대비 해당 영화의 매출비율
"나는 내일, 어제의 너와 만난다",3230,2017-10-12,23924200,0.9
희생부활자,49100,2017-10-12,359864000,14.1
대장 김창수,44469,2017-10-19,319668700,12.9
지오스톰,87805,2017-10-19,699873800,28.3
마더!,6976,2017-10-19,51129800,2.1
노 게임 노 라이프 -제로-,8513,2017-10-19,67287000,2.7
토르: 라그나로크,415741,2017-10-25,2590457400,64.0
유리정원,3933,2017-10-25,23059000,0.6
너의 췌장을 먹고 싶어,38923,2017-10-25,223629700,5.5
뷰티풀 투모로우,9883,2017-10-26,83877200,2.8
메소드,2857,2017-11-02,21924900,0.8
침묵,57510,2017-11-02,420845300,15.3
직쏘,17581,2017-11-02,142638500,5.2
내게 남은 사랑을,2181,2017-11-02,14573500,0.5
부라더,100941,2017-11-02,746500200,27.1
해피 데스데이,45059,2017-11-08,341139800,17.0
러빙 빈센트,6918,2017-11-09,52621500,2.5
리빙보이 인 뉴욕,4417,2017-11-09,33777400,1.6
채비,13267,2017-11-09,90017700,4.2
미옥,50553,2017-11-09,371690200,17.4
저스티스 리그,153553,2017-11-15,1246482600,41.2
7호실,55985,2017-11-15,407772400,13.5
페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,9271,2017-11-16,67408200,2.2
꾼,213172,2017-11-22,1564888600,62.1
키드냅,3615,2017-11-22,26200800,1.0
역모-반란의 시대,5727,2017-11-23,40740400,1.5
기억의 밤,97245,2017-11-29,561258200,17.8
반드시 잡는다,59907,2017-11-29,355845700,11.3
오리엔트 특급 살인,94340,2017-11-29,556848900,17.7
메리와 마녀의 꽃,40101,2017-12-07,293485000,13.8
뽀로로 극장판 공룡섬 대모험,20700,2017-12-07,143674000,6.7
어쌔신: 더 비기닝,31793,2017-12-07,229981200,10.8
산상수훈,3082,2017-12-07,19084000,0.9
강철비,236952,2017-12-14,1711379500,48.7
튤립 피버,7731,2017-12-14,57373500,1.6
극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,3383,2017-12-14,23251900,0.7
스타워즈: 라스트 제다이,115246,2017-12-14,966980200,27.5
위대한 쇼맨,40995,2017-12-20,306750400,6.5
신과함께-죄와 벌,406365,2017-12-20,2984150800,63.2
몬스터 패밀리,12201,2017-12-21,74273100,1.5
극장판 포켓몬스터 너로 정했다!,14583,2017-12-21,101868900,2.1
더 크리스마스,4525,2017-12-21,25972100,0.5
1987,331736,2017-12-27,1973650400,32.3
원더,12864,2017-12-27,79340700,1.3
극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,8122,2017-12-28,57539500,1.0
쥬만지: 새로운 세계,124781,2018-01-03,946055400,19.2
페르디난드,55641,2018-01-03,377615000,7.7
다운사이징,32562,2018-01-11,247341600,6.3
하이큐!! 콘셉트의 싸움,3869,2018-01-11,27030500,0.7
코코,106921,2018-01-11,801853900,20.5
"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",8183,2018-01-11,60159600,1.5
그것만이 내 세상,126797,2018-01-17,964523300,19.9
다키스트 아워,1796,2018-01-17,12944000,0.3
메이즈 러너: 데스 큐어,225510,2018-01-17,1752986100,36.2
젝스키스 에이틴,6765,2018-01-18,49236400,1.1
주문은 토끼입니까?? ~디어 마이 시스터~,5773,2018-01-18,40877500,1.0
리틀 뱀파이어,2646,2018-01-18,17487300,0.4
커뮤터,35006,2018-01-24,265166800,9.0
비밥바룰라,8922,2018-01-24,64972100,2.2
1급기밀,24259,2018-01-24,181680800,6.2
극장판 레이디버그: 미라클스톤의 비밀,3801,2018-01-25,25749500,0.9
12 솔져스,25712,2018-01-31,159644500,3.7
인시디어스4: 라스트 키,102991,2018-01-31,628833500,14.6
염력,264711,2018-01-31,1617241600,37.4
마야2,6242,2018-02-01,43195300,1.6
더 포리너,8178,2018-02-07,63424700,3.9
조선명탐정: 흡혈괴마의 비밀,142796,2018-02-08,1062967600,46.8
패딩턴 2,13670,2018-02-08,97195300,4.3
명탐정 코난:감벽의 관,41627,2018-02-14,285572800,3.7
흥부: 글로 세상을 바꾼 자,43694,2018-02-14,335132900,4.3
골든슬럼버,161564,2018-02-14,1234112400,15.9
블랙 팬서,630461,2018-02-14,5055433500,65.0
50가지 그림자: 해방,21009,2018-02-21,167851300,7.0
월요일이 사라졌다,26575,2018-02-22,210779900,8.9
셰이프 오브 워터: 사랑의 모양,22660,2018-02-22,176081700,7.4
리틀 포레스트,131350,2018-02-28,779250900,18.7
더 포스트,14731,2018-02-28,93416100,2.2
궁합,175057,2018-02-28,1060297900,25.5
게이트,13723,2018-02-28,89426200,2.2
나미야 잡화점의 기적,49465,2018-02-28,299807100,7.2
레드 스패로,17633,2018-02-28,111196600,2.7
사라진 밤,57161,2018-03-07,438121700,26.2
온리 더 브레이브,9193,2018-03-07,70006000,4.2
플로리다 프로젝트,5187,2018-03-07,40965600,2.5
툼레이더,59418,2018-03-08,460361800,23.4
치즈인더트랩,32805,2018-03-14,261562900,13.2
로건 럭키,3238,2018-03-14,23103800,1.2
지금 만나러 갑니다,89772,2018-03-14,682198900,34.3
허리케인 하이스트,18997,2018-03-14,144418300,7.3
쓰리 빌보드,5236,2018-03-15,39847700,2.3
퍼시픽 림: 업라이징,114862,2018-03-21,924423500,43.1
콜 미 바이 유어 네임,11781,2018-03-22,92179400,4.9
소공녀,4421,2018-03-22,33201800,1.8
막달라 마리아: 부활의 증인,3214,2018-03-28,20066000,0.5
레디 플레이어 원,149784,2018-03-28,1005005000,26.4
곤지암,198365,2018-03-28,1256715400,33.0
7년의 밤,124688,2018-03-28,737244400,19.3
레이디 버드,8017,2018-04-04,59284000,3.2
바람 바람 바람,95534,2018-04-05,712977000,30.1
문호 스트레이독스 [데드 애플],2419,2018-04-05,18153000,0.8
덕구,17766,2018-04-05,124011100,5.2
"그날, 바다",24593,2018-04-12,192056800,9.4
램페이지,74779,2018-04-12,604887250,29.5
콰이어트 플레이스,35950,2018-04-12,288307000,14.0
머니백,7666,2018-04-12,56316100,2.7
몬태나,3775,2018-04-19,27613900,2.0
나를 기억해,18797,2018-04-19,153116700,11.1
크리미널 스쿼드,4826,2018-04-19,36684600,2.7
어벤져스: 인피니티 워,980042,2018-04-25,6929271100,95.1
클레어의 카메라,1255,2018-04-25,8046300,0.1
살인소설,7827,2018-04-25,49784000,0.7
당갈,7976,2018-04-25,65090500,0.9
레오나르도 다 빈치,869,2018-04-26,6933300,0.1
챔피언,139965,2018-05-01,1101385100,14.8
커다랗고 커다랗고 커다란 배,1683,2018-05-03,12093900,0.4
원더스트럭,3119,2018-05-03,23829100,0.8
매직빈,2185,2018-05-03,16359300,0.5
얼리맨,2697,2018-05-03,17353100,0.6
샷 콜러,1689,2018-05-04,9925400,0.2
레슬러,63660,2018-05-09,503920900,28.5
중2병이라도 사랑이 하고 싶어! 테이크 온 미,2930,2018-05-10,23896600,1.5
루비 스팍스,2726,2018-05-10,22336500,1.4
씨 오브 트리스,1059,2018-05-10,8786000,0.5
피터 래빗,4019,2018-05-16,28682100,0.8
임을 위한 행진곡,1942,2018-05-16,14730700,0.4
데드풀 2,356445,2018-05-16,3042723300,79.8
"안녕, 나의 소녀",5199,2018-05-16,39197500,1.0
마징가 Z: 인피니티,1438,2018-05-17,11392500,0.3
버닝,54088,2018-05-17,446362600,13.1
트루스 오어 데어,54911,2018-05-22,479675300,5.3
독전,376530,2018-05-22,3378735600,37.5
한 솔로: 스타워즈 스토리,19176,2018-05-24,184755200,7.1
데자뷰,15214,2018-05-30,90004900,3.1
"스탠바이, 웬디",6527,2018-05-30,37856300,1.3
디트로이트,2486,2018-05-31,20034200,1.0
극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,79430,2018-06-06,597761900,4.3
벅스 프렌즈,12769,2018-06-06,101431700,0.7
호비와 매직 아일랜드,3952,2018-06-06,28765500,0.2
쥬라기 월드: 폴른 킹덤,1183496,2018-06-06,10312367000,74.5
아이 필 프리티,25708,2018-06-06,230819900,1.7
유전,17859,2018-06-07,147495800,4.9
토니스토리2: 고철왕국의 친구들,6441,2018-06-13,49774000,0.6
탐정: 리턴즈,235184,2018-06-13,2043182700,23.3
오션스8,195523,2018-06-13,1751397800,20.0
여중생A,11085,2018-06-20,85906300,4.0
아일라,3973,2018-06-21,28351800,1.4
미드나잇 선,12067,2018-06-21,88025800,4.2
허스토리,44340,2018-06-27,257451300,9.2
시카리오: 데이 오브 솔다도,37187,2018-06-27,222528700,8.0
마녀,121990,2018-06-27,738666200,26.5
앤트맨과 와스프,404151,2018-07-04,3423533400,71.3
변산,43149,2018-07-04,336347900,7.0
스카이스크래퍼,78615,2018-07-11,632336000,21.3
"오늘 밤, 로맨스 극장에서",4552,2018-07-11,36438800,1.2
킬링 디어,4552,2018-07-12,38695800,1.5
속닥속닥,56855,2018-07-13,505635600,12.0
인크레더블 2,122594,2018-07-18,1006229800,35.8
독전: 익스텐디드 컷,19998,2018-07-18,123546900,4.4
호텔 아르테미스,16931,2018-07-18,132917700,4.7
이별의 아침에 약속의 꽃을 장식하자,5227,2018-07-19,43197100,1.7
신은 죽지 않았다 3: 어둠 속의 빛,8177,2018-07-19,58901800,2.3
해적왕 작스톰,1267,2018-07-25,10477900,0.2
인랑,274510,2018-07-25,1692595700,24.9
신비아파트: 금빛 도깨비와 비밀의 동굴,36633,2018-07-25,244738500,3.6
미션 임파서블: 폴아웃,601935,2018-07-25,3905685200,57.4
어느 가족,7067,2018-07-26,53787400,1.0
신과함께-인과 연,1246603,2018-08-01,9684810000,69.5
극장판 헬로카봇 : 백악기 시대,162242,2018-08-01,1145177500,8.2
공작,333316,2018-08-08,2638788700,29.4
몬스터 호텔 3,86565,2018-08-08,591579000,6.6
명탐정 코난 : 제로의 집행인,87322,2018-08-08,620226200,6.9
맘마미아!2,145931,2018-08-08,1162055100,13.0
메가로돈,157303,2018-08-15,1363704400,8.5
목격자,368981,2018-08-15,3195156400,19.9
극장판 도라에몽: 진구의 보물섬,61884,2018-08-15,471207400,2.9
나를 차버린 스파이,29368,2018-08-22,244827300,6.8
너의 결혼식,99411,2018-08-22,794659400,22.0
마일22,9224,2018-08-23,73262800,2.7
서치,61992,2018-08-29,373410100,10.7
상류사회,131795,2018-08-29,843052500,24.3
양말요정 휴고의 대모험,2115,2018-09-06,12390200,0.6
업그레이드,18202,2018-09-06,154818700,7.7
어드리프트:우리가 함께한 바다,8250,2018-09-06,64196150,3.2
물괴,105255,2018-09-12,839276950,40.3
더 프레데터,28926,2018-09-12,235780200,11.3
안시성,122859,2018-09-19,977031400,27.7
협상,81031,2018-09-19,646188400,18.3
더 넌,98719,2018-09-19,807398600,22.9
명당,108903,2018-09-19,872730650,24.7
극장판 뽀잉: 슈퍼 변신의 비밀,4161,2018-09-20,28945600,0.9
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,2136,2018-09-20,14967150,0.5
체실 비치에서,2053,2018-09-20,15586200,0.5
루이스,4066,2018-09-20,29947400,0.9
에그엔젤 코코밍: 두근두근 핼러윈 파티,11237,2018-09-22,89051000,0.9
원더풀 고스트,163644,2018-09-26,1192611300,11.1
파이널 포트레이트,1597,2018-09-27,12662050,0.4
곰돌이 푸 다시 만나 행복해,78478,2018-10-03,662450350,5.0
암수살인,439309,2018-10-03,3864284950,29.3
셜록 놈즈,25769,2018-10-03,197847050,1.5
베놈,740661,2018-10-03,6536664400,49.6
다이노 어드벤처2: 육해공 공룡 대백과,17883,2018-10-09,138025850,1.9
극장판 가면라이더 이그제이드: 트루 엔딩,10667,2018-10-09,83155150,1.2
스타 이즈 본,35127,2018-10-09,314580400,4.4
리즈와 파랑새,6653,2018-10-09,55706000,0.8
에브리데이,3399,2018-10-11,29401700,1.5
미쓰백,21887,2018-10-11,175564100,9.2
킨: 더 비기닝,2355,2018-10-11,18833600,1.0
노크: 초대받지 않은 손님,2976,2018-10-11,24815000,1.3
퍼스트맨,70842,2018-10-18,616795600,32.8
배반의 장미,9499,2018-10-18,76960950,4.1
펭귄 하이웨이,2557,2018-10-18,19820050,1.1
창궐,156629,2018-10-25,1238347750,53.3
크레이지 리치 아시안,18773,2018-10-25,151752700,6.5
나츠메 우인장: 세상과 연을 맺다,7206,2018-10-31,46520000,1.2
벽 속에 숨은 마법시계,42726,2018-10-31,248716200,6.2
완벽한 타인,274118,2018-10-31,1658691350,41.5
할로윈,32534,2018-10-31,205699150,5.1
보헤미안 랩소디,110477,2018-10-31,760190950,19.0
동네사람들,54297,2018-11-07,429188850,14.4
여곡성,11477,2018-11-08,97311400,3.2
신비한 동물들과 그린델왈드의 범죄,272339,2018-11-14,2276842950,51.0
출국,4830,2018-11-14,36413500,0.8
번 더 스테이지: 더 무비,76800,2018-11-15,616136000,13.3
해피 투게더,3191,2018-11-15,21806500,0.5
너의 췌장을 먹고 싶어,8615,2018-11-15,61253750,1.3
툴리,3020,2018-11-22,26844400,0.8
베일리 어게인,7146,2018-11-22,58970800,1.8
성난황소,135764,2018-11-22,1063308250,32.1
국가부도의 날,301330,2018-11-28,1800650600,39.9
거미줄에 걸린 소녀,5208,2018-11-28,33787050,0.7
국가부도의 날,301330,2018-11-28,1800650600,39.9
후드,58586,2018-11-28,357404000,7.9
후드,58586,2018-11-28,357404000,7.9
거미줄에 걸린 소녀,5208,2018-11-28,33787050,0.7
도어락,122978,2018-12-05,959146850,28.3
모털 엔진,45519,2018-12-05,386672850,11.4
모털 엔진,45519,2018-12-05,386672850,11.4
런닝맨 : 풀룰루의 역습,6486,2018-12-05,45284100,1.3
런닝맨 : 풀룰루의 역습,6486,2018-12-05,45284100,1.3
도어락,122978,2018-12-05,959146850,28.3
호두까기 인형과 4개의 왕국,36136,2018-12-06,282801300,8.1
헌터 킬러,5606,2018-12-06,44313700,1.3
헌터 킬러,5606,2018-12-06,44313700,1.3
호두까기 인형과 4개의 왕국,36136,2018-12-06,282801300,8.1
트와이스랜드,5042,2018-12-07,45101000,1.0
트와이스랜드,5042,2018-12-07,45101000,1.0
엘리엇과 산타 썰매단,4865,2018-12-12,29766300,1.1
모어 댄 블루,4049,2018-12-12,33008600,1.2
모어 댄 블루,4049,2018-12-12,33008600,1.2
부탁 하나만 들어줘,17216,2018-12-12,139198300,5.0
엘리엇과 산타 썰매단,4865,2018-12-12,29766300,1.1
스파이더맨: 뉴 유니버스,40476,2018-12-12,313158050,11.2
스파이더맨: 뉴 유니버스,40476,2018-12-12,313158050,11.2
부탁 하나만 들어줘,17216,2018-12-12,139198300,5.0
그린치,11938,2018-12-19,80214500,1.6
마약왕,250106,2018-12-19,2045376200,41.0
아쿠아맨,145383,2018-12-19,1229668100,24.6
스윙키즈,102502,2018-12-19,776978000,15.6
스윙키즈,102502,2018-12-19,776978000,15.6
아쿠아맨,145383,2018-12-19,1229668100,24.6
마약왕,250106,2018-12-19,2045376200,41.0
그린치,11938,2018-12-19,80214500,1.6
극장판 포켓몬스터 모두의 이야기,6992,2018-12-19,51063450,1.0
극장판 포켓몬스터 모두의 이야기,6992,2018-12-19,51063450,1.0
범블비,441893,2018-12-25,3832868850,23.3
점박이 한반도의 공룡2 : 새로운 낙원,154579,2018-12-25,1234641300,7.5
점박이 한반도의 공룡2 : 새로운 낙원,154579,2018-12-25,1234641300,7.5
범블비,441893,2018-12-25,3832868850,23.3
PMC: 더 벙커,219234,2018-12-26,1365529550,30.2
PMC: 더 벙커,219234,2018-12-26,1365529550,30.2
언니,66686,2019-01-01,612798450,5.9
주먹왕 랄프 2: 인터넷 속으로,125882,2019-01-03,942808600,30.5
내안의 그놈,85238,2019-01-09,688757700,22.7
말모이,122458,2019-01-09,984040250,32.4
그린 북,12416,2019-01-09,104664150,3.4
극장판 공룡메카드: 타이니소어의 섬,57616,2019-01-10,405005750,12.4
빌리어네어 보이즈클럽,4146,2019-01-10,34529400,1.1
구스 베이비,9482,2019-01-16,62236950,2.3
그대 이름은 장미,14163,2019-01-16,110733670,4.0
언더독,18781,2019-01-16,139539100,5.1
미래의 미라이,16169,2019-01-16,124865980,4.5
글래스,71816,2019-01-17,615511580,21.4
몬스터 파크,4217,2019-01-23,27875750,0.7
극한직업,368582,2019-01-23,3004762990,73.2
가버나움,4442,2019-01-24,33522600,0.9
러브 유어셀프 인 서울,100191,2019-01-26,947048800,8.0
드래곤 길들이기 3,124517,2019-01-30,826467640,13.2
뺑반,253727,2019-01-30,1520316950,24.2
극장판 헬로카봇: 옴파로스 섬의 비밀,48839,2019-01-31,352468520,6.8
알리타: 배틀 엔젤,264263,2019-02-05,2662761200,16.9
레고 무비2,23045,2019-02-06,184113420,1.1
신밧드와 마법 양탄자,3056,2019-02-13,18684600,0.6
기묘한 가족,42736,2019-02-13,333932400,10.5
증인,81424,2019-02-13,633381650,20.0
해피 데스데이 2 유,72440,2019-02-14,572932790,14.4
드래곤볼 슈퍼: 브로리,7720,2019-02-14,60484890,1.5
메리 포핀스 리턴즈,27117,2019-02-14,213897590,5.4
명탐정 코난:전율의 악보,27534,2019-02-14,199918600,5.0
신데렐라:마법 반지의 비밀,14382,2019-02-20,98781860,2.7
사바하,184517,2019-02-20,1438049010,39.3
콜드 체이싱,19775,2019-02-20,153887290,4.2
자전차왕 엄복동,43408,2019-02-27,259362050,6.6
"어쩌다, 결혼",22216,2019-02-27,132134770,3.4
항거:유관순 이야기,99754,2019-02-27,581266750,14.8
캡틴 마블,461134,2019-03-06,3957930530,85.6
킹 오브 프리즘 -샤이니 세븐 스타즈-,1514,2019-03-07,12159750,0.4
철벽선생,3689,2019-03-14,31611000,1.6
이스케이프 룸,52817,2019-03-14,444984780,22.9
라스트 미션,11599,2019-03-14,89953480,4.6
1919 유관순,3017,2019-03-14,23149770,1.2
돈,165833,2019-03-20,1369138680,54.4
우상,27175,2019-03-20,222873850,8.9
악질경찰,33072,2019-03-20,270162120,10.7
양지의 그녀,2423,2019-03-21,19996470,0.8
페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,5963,2019-03-21,49977700,2.0
덤보,24835,2019-03-27,143508030,4.1
장난스런 키스,30692,2019-03-27,178833530,5.2
어스,213624,2019-03-27,1319500490,38.0
더 길티,4254,2019-03-27,23665000,0.7
썬키스 패밀리,6246,2019-03-27,39471080,1.1
생일,45516,2019-04-03,357545220,17.3
로망,8814,2019-04-03,61761990,3.0
샤잠!,86809,2019-04-03,721173930,34.9
킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,1572,2019-04-04,12304850,0.7
공포의 묘지,18905,2019-04-10,156593270,10.2
파이브 피트,10050,2019-04-10,82566950,5.4
헬보이,36048,2019-04-10,291984020,18.9
바이스,11016,2019-04-11,86503500,5.9
아이 엠 마더,9013,2019-04-11,68726200,4.7
미성년,23357,2019-04-11,188405540,12.9
"다시, 봄",4124,2019-04-17,32372060,2.8
요로나의 저주,23480,2019-04-17,198250890,17.3
왓칭,8181,2019-04-17,64820050,5.7
크게 될 놈,14535,2019-04-18,108193550,9.6
어벤져스: 엔드게임,1338729,2019-04-24,9678989600,97.1
뽀로로 극장판 보물섬 대모험,16260,2019-04-25,113249440,1.5
안도 타다오,1032,2019-04-25,8281000,0.1
프렌즈: 둥지탈출,3020,2019-05-01,20698750,0.2
어글리 돌,12842,2019-05-01,89425540,0.9
나의 특별한 형제,133028,2019-05-01,1031612550,10.9
미스 스티븐스,1482,2019-05-02,11334150,0.3
킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,1455,2019-05-02,11449410,0.3
호텔 뭄바이,5723,2019-05-08,43591500,2.5
걸캅스,74718,2019-05-09,600962410,25.3
벤 이즈 백,1038,2019-05-09,7857700,0.3
명탐정 피카츄,27354,2019-05-09,222935100,9.4
라플라스의 마녀,1868,2019-05-09,15292100,0.6
악인전,175397,2019-05-15,1444258970,47.1
배심원들,25929,2019-05-15,204296220,6.7
나의 히어로 아카데미아 더 무비: 두 명의 히어로,2647,2019-05-16,21007850,0.8
서스페리아,4335,2019-05-16,37529150,1.4
교회오빠,3245,2019-05-16,25644390,0.9
어린 의뢰인,21262,2019-05-22,169077420,7.8
알라딘,72736,2019-05-23,616644460,25.2
더 보이,17628,2019-05-23,146359870,6.0
0.0MHz,31078,2019-05-29,194232300,5.4
고질라: 킹 오브 몬스터,88996,2019-05-29,610244780,17.0
킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운,1629,2019-05-30,12657490,0.2
기생충,568092,2019-05-30,4579290500,75.7
엑스맨: 다크 피닉스,122589,2019-06-05,1063810560,18.5
로켓맨,11888,2019-06-05,94429820,1.6
빅샤크2: 해저2만리,18294,2019-06-06,137771380,1.0
폴라로이드,3330,2019-06-06,28913660,0.2
맨 인 블랙: 인터내셔널,115203,2019-06-12,971377390,29.9
업사이드,5422,2019-06-13,44461600,1.5
천로역정: 천국을 찾아서,8053,2019-06-13,61486540,2.1
세상을 바꾼 변호인,3867,2019-06-13,28147300,0.9
롱 리브 더 킹: 목포 영웅,117538,2019-06-19,950490120,29.2
토이 스토리 4,141837,2019-06-20,1230056240,30.2
사탄의 인형,13453,2019-06-20,117109700,2.9
쓰리 세컨즈,1668,2019-06-20,13896950,0.3
애나벨 집으로,78044,2019-06-26,510093940,10.3
마담 싸이코,8639,2019-06-26,54619500,1.1
존 윅 3: 파라벨룸,132094,2019-06-26,849163060,17.2
비스트,58443,2019-06-26,358848190,7.3
스파이더맨: 파 프롬 홈,674423,2019-07-02,5618545280,79.0
진범,15307,2019-07-10,121532400,3.5
기방도령,47391,2019-07-10,373257370,10.9
극장판 엉덩이 탐정: 화려한 사건 수첩,6110,2019-07-11,46068680,1.5
미드소마,11875,2019-07-11,102639470,3.3
사일런스,9168,2019-07-17,76016880,1.8
라이온 킹,304793,2019-07-17,2644522480,63.6
명탐정 코난: 감청의 권,54935,2019-07-24,415329480,10.7
롱 샷,16316,2019-07-24,135980460,3.5
나랏말싸미,151261,2019-07-24,1187248450,30.6
레드슈즈,34635,2019-07-25,258030910,7.1
마이펫의 이중생활 2,175928,2019-07-31,1149515190,13.3
엑시트,489996,2019-07-31,3172131090,36.6
사자,380092,2019-07-31,2358170340,27.2
앵그리 버드 2: 독수리 왕국의 침공,24389,2019-08-07,175289190,2.4
브링 더 소울 : 더 무비,109242,2019-08-07,887162760,12.2
봉오동 전투,333867,2019-08-07,2641100940,36.2
김복동,5901,2019-08-08,46641400,0.8
분노의 질주: 홉스&쇼,351556,2019-08-14,2935002750,42.5
"안녕, 티라노: 영원히, 함께",14350,2019-08-14,103907360,1.5
원더랜드,9373,2019-08-14,63374970,0.9
암전,30566,2019-08-15,271626360,1.9
변신,97117,2019-08-21,817343910,21.9
광대들: 풍문조작단,83073,2019-08-21,662099850,17.7
애프터,8740,2019-08-22,72456620,2.0
커런트 워,34178,2019-08-22,295118800,8.2
유열의 음악앨범,173513,2019-08-28,1027952800,24.8
47미터 2,76468,2019-08-28,462471050,11.1
안나,16829,2019-08-28,106358400,2.6
벌새,3790,2019-08-29,29667590,1.1
극장판 헬로카봇 : 달나라를 구해줘!,27938,2019-09-04,202041420,9.4
그것: 두 번째 이야기,58276,2019-09-04,484698620,22.6
안녕 베일리,5520,2019-09-05,45212700,2.5
나쁜 녀석들: 더 무비,244335,2019-09-11,1970875550,34.9
"힘을 내요, 미스터 리",55320,2019-09-11,428802330,7.6
극장판 반지의 비밀일기,3353,2019-09-11,27236200,0.5
플레이모빌: 더 무비,3879,2019-09-11,27190000,0.5
타짜: 원 아이드 잭,332290,2019-09-11,2693258790,47.6
예스터데이,39393,2019-09-18,322355690,14.9
뷰티풀 보이,2574,2019-09-19,19464820,0.9
비뚤어진 집,1809,2019-09-19,13185260,0.6
애드 아스트라,47212,2019-09-19,404525360,19.1
장사리 : 잊혀진 영웅들,129938,2019-09-25,770367470,31.0
레플리카,8544,2019-09-25,52701990,2.1
양자물리학,53451,2019-09-25,323242370,13.0
원스 어폰 어 타임... 인 할리우드,47986,2019-09-25,289123600,11.6
더 룸,9911,2019-09-25,60560900,2.4
퍼펙트맨,77448,2019-10-02,607453440,12.0
조커,323409,2019-10-02,2680489690,52.7
가장 보통의 연애,145572,2019-10-02,1152655840,22.7
소피와 드래곤: 마법책의 비밀,2232,2019-10-02,16255500,0.3
오션스: 문어구출대작전,4483,2019-10-03,35324840,0.3
몬스터 하우스,14803,2019-10-03,119728200,1.1
제미니 맨,100685,2019-10-09,871767020,12.2
판소리 복서,4674,2019-10-09,38355640,0.5
쿵푸 보이,4172,2019-10-09,32698420,0.5
잃어버린 세계를 찾아서,7746,2019-10-09,60091300,0.8
버티고,1573,2019-10-16,12716380,0.8
너를 만난 여름,1974,2019-10-16,16888400,1.0
말레피센트 2,70017,2019-10-17,577899830,28.1
두번할까요,26734,2019-10-17,212052350,10.3
더 킹: 헨리 5세,2023,2019-10-23,15149720,0.7
람보 : 라스트 워,13011,2019-10-23,101459920,4.4
82년생 김지영,138761,2019-10-23,1105980170,48.3
날씨의 아이,71143,2019-10-30,429388720,10.1
터미네이터: 다크 페이트,269270,2019-10-30,1695339390,39.7
빅 위시,1356,2019-10-30,9429200,0.2
신의 한 수: 귀수편,176063,2019-11-07,1401876520,48.5
닥터 슬립,9372,2019-11-07,76805590,2.7
아담스 패밀리,11898,2019-11-07,92125120,3.2
좀비랜드: 더블 탭,20769,2019-11-13,171391350,6.4
어쩌다 룸메이트,1272,2019-11-13,10783500,0.4
엔젤 해즈 폴른,19641,2019-11-13,153357770,5.8
블랙머니,111652,2019-11-13,890600310,33.5
윤희에게,4512,2019-11-14,35146790,1.3
대통령의 7시간,2565,2019-11-14,21025980,0.8
아이리시맨,2747,2019-11-20,22784120,1.1
얼굴없는 보스,5881,2019-11-21,47652400,0.8
겨울왕국 2,606618,2019-11-21,4943457300,81.8
나를 찾아줘(한),108735,2019-11-27,650958700,12.5
허슬러,10002,2019-11-27,65310540,1.3
러브 앳,8746,2019-11-27,53647000,1.0
오피셜 시크릿,1714,2019-11-27,10429700,0.2
크롤,23553,2019-11-27,144546760,2.8
포드 V 페라리,52484,2019-12-04,435610970,15.4
나이브스 아웃,39346,2019-12-04,289515820,10.2
감쪽같은 그녀,35839,2019-12-04,257508580,9.1
굿 라이어,4023,2019-12-05,30939820,1.1
라스트 크리스마스,28656,2019-12-05,224196560,8.0
파비안느에 관한 진실,5916,2019-12-05,33541300,1.2
아내를 죽였다,16772,2019-12-11,132199500,4.5
쥬만지: 넥스트 레벨,109502,2019-12-11,860453620,29.1
카운트다운,8925,2019-12-12,69466500,2.6
시동,233340,2019-12-18,1843357430,54.8
신비아파트 극장판 하늘도깨비 대 요르문간드,22805,2019-12-19,171126580,3.1
"미안해요, 리키",2717,2019-12-19,19394080,0.3
백두산,450171,2019-12-19,3549081870,63.3
프린스 코기,7605,2019-12-24,50153860,0.6
캣츠,186889,2019-12-24,1565114230,19.3
눈의 여왕4,9093,2019-12-24,64915320,0.8
천문: 하늘에 묻는다,147537,2019-12-26,886118900,17.1
미드웨이,131880,2019-12-31,1071629520,15.0
