,영화명,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,개봉연도,평균 제작비,국내배급사,상장배급사,주요배급사,개봉일관객수,개봉일매출액,개봉일매출비율,타겟,대표코드
89,킹스맨: 골든 서클,2017-09-27,0.0,1687,40987484736,4945484,12306638886.0,1419759,액션,0,1,2017,26.3,1.0,0.0,1,481948.0,3056786300.0,72.9,1,20175222
90,바람과 함께 사라지다,2012-08-08,1.0,694,34524377161,4897551,8302901161.0,1122802,코미디,2,1,2012,20.3,0.0,1.0,1,172048.0,1183902000.0,26.0,1,20124067
91,마션,2015-10-08,0.0,1132,39612764295,4875494,12914889095.0,1509471,액션,2,1,2015,19.9,1.0,0.0,1,271226.0,2101911000.0,48.5,1,20151383
92,토르: 라그나로크,2017-10-25,0.0,1640,39248432595,4857152,12088848195.0,1419464,액션,2,1,2017,26.3,1.0,0.0,1,415741.0,2590457400.0,64.0,1,20175121
93,어메이징 스파이더맨,2012-06-28,0.0,1118,41163951235,4853123,13100185524.0,1446116,액션,2,1,2012,20.3,1.0,0.0,1,272155.0,2368466000.0,71.7,1,20126077
94,"님아, 그 강을 건너지 마오",2014-11-27,1.0,206,37354452679,4801355,9129018879.0,1140795,다큐멘터리,3,0,2014,20.1,0.0,1.0,0,8607.0,63097500.0,2.5,0,20141111
95,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,1.0,611,35841769500,4786259,10712744000.0,1363857,코미디,2,1,2011,22.7,0.0,1.0,1,97036.0,695551500.0,26.4,0,20102414
96,봉오동 전투,2019-08-07,1.0,1476,40514276538,4779501,7782799628.0,891383,사극,1,1,2019,29.0,0.0,1.0,1,333867.0,2641100940.0,36.2,0,20184462
97,군도: 민란의 시대,2014-07-23,1.0,1394,36987755999,4774895,9976707399.0,1239945,사극,1,1,2014,20.1,0.0,1.0,1,551841.0,4092186100.0,74.6,1,20123501
98,라이온 킹,2019-07-17,0.0,1936,41518977430,4743184,11620751790.0,1218042,어드벤처,3,1,2019,29.0,1.0,0.0,1,304793.0,2644522480.0,63.6,0,20175771
99,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,1.0,699,36479147500,4710454,11716858500.0,1451900,범죄,0,1,2012,20.3,0.0,1.0,1,166041.0,1235533500.0,45.0,1,20113557
100,주토피아,2016-02-17,0.0,661,37077444042,4703245,12142771642.0,1465960,애니메이션,3,1,2016,24.0,1.0,0.0,1,35604.0,261052300.0,6.4,1,20155501
101,엣지 오브 투모로우,2014-06-04,0.0,801,38703942201,4697142,12201872401.0,1401887,액션,2,1,2014,20.1,1.0,0.0,1,377160.0,3201954200.0,37.3,1,20148807
102,신세계,2013-02-21,1.0,671,34881330905,4682492,11114978905.0,1435648,범죄,0,1,2013,21.4,0.0,1.0,1,168935.0,1182807000.0,34.5,1,20124401
103,신비한 동물사전,2016-11-16,0.0,1431,39337263058,4666993,12640487458.0,1425528,어드벤처,2,1,2016,24.0,1.0,0.0,1,242775.0,1975369400.0,57.0,0,20162365
104,도가니,2011-09-22,1.0,644,35566854800,4662822,10141606500.0,1267508,드라마,0,1,2011,22.7,0.0,1.0,1,136094.0,1001031500.0,54.8,0,20112534
105,내 아내의 모든 것,2012-05-17,1.0,563,34222160500,4598583,11547286500.0,1475165,코미디,1,1,2012,20.3,0.0,1.0,1,87798.0,626300000.0,25.7,0,20113554
106,나쁜 녀석들: 더 무비,2019-09-11,1.0,1511,39560195124,4573902,8008441184.0,905239,범죄,1,1,2019,29.0,0.0,1.0,1,244335.0,1970875550.0,34.9,1,20188750
107,판도라,2016-12-07,1.0,1166,35965733064,4571142,7213559964.0,880999,드라마,2,1,2016,24.0,0.0,1.0,1,154652.0,1138891200.0,42.4,1,20144641
108,연가시,2012-07-05,1.0,759,32154766664,4513026,7819583000.0,1040068,공포(호러),1,1,2012,20.3,0.0,1.0,1,191274.0,1340818500.0,40.8,0,20124062
109,아이언맨 2,2010-04-29,0.0,757,33161943100,4498335,10697867500.0,1370291,SF,2,1,2010,21.6,0.0,1.0,1,248798.0,1822957000.0,65.3,1,20090933
110,강철비,2017-12-14,1.0,1426,35477912466,4451336,8694723516.0,1060541,액션,1,1,2017,26.3,0.0,1.0,1,236952.0,1711379500.0,48.7,1,20170402
