영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,로그 전국스크린수,로그 전국매출액,로그 전국관객수,로그 서울매출액,로그 서울관객수,로그 수정전국매출액,로그 개봉일관객수,로그 개봉일매출액,로그 개봉일매출비율,로그 배우가중치,로그 감독가중치,타겟
나의 사랑 나의 신부,2014-10-08,1.0,멜로/로맨스,1,0.0,0.0,0,6.444131256700441,41.95287062588309,14.574264751121426,22.263071253020033,13.256441370615528,5.111509137978352,11.389695119625614,20.298145932614517,3.0587070727153796,-0.6931471805599453,-2.995732273553991,0
굿바이 싱글,2016-06-29,1.0,코미디,1,0.0,1.0,1,6.734591659972948,41.97201176619128,14.561379686899494,22.20050347385497,13.176529541148058,5.13065027828655,11.716217267781833,20.41399683427636,3.086486636822455,0.13976194237515863,-2.995732273553991,0
이클립스,2010-07-07,0.0,기타,2,0.0,1.0,1,6.282266746896006,41.864751212211665,14.559849777785642,22.313771051585917,13.382610016670041,5.023389724306935,12.023975063651966,20.905461135770164,3.754198920234579,-0.7985076962177716,-2.995732273553991,1
몽타주,2013-05-16,1.0,기타,1,0.0,1.0,1,6.29156913955832,41.85204494750768,14.555243092933578,21.988326026585472,13.059500252007194,5.010683459602946,11.332482143188047,20.15804034399637,3.139832617527748,-0.5978370007556204,-2.995732273553991,0
명당,2018-09-19,1.0,기타,2,0.0,0.0,0,7.018401799069201,42.0287906181701,14.551465280539762,22.234122375329537,13.159131084396543,5.187429130265367,11.598212856750973,20.58713753240601,3.2068032436339315,-0.7985076962177716,-2.3025850929940455,0
논스톱,2014-02-27,0.0,액션,1,0.0,1.0,1,6.366470447731438,41.920662707424675,14.55001894764215,22.320687247545422,13.323531221994644,5.079301219519945,11.659896144461257,20.552540740539182,3.3775875160230218,-0.2876820724517809,-1.6094379124341003,1
내부자들: 디 오리지널,2015-12-31,1.0,범죄,0,0.0,1.0,1,6.731018100482083,41.97562258355692,14.549799202008831,22.27111361794714,13.244338502849958,5.134261095652188,11.97707448941417,20.92886251028783,2.8791984572980396,-0.16251892949777494,-1.3862943611198906,0
쩨쩨한 로맨스,2010-12-01,1.0,코미디,0,0.0,1.0,1,6.137727054086234,41.9103676132954,14.54815437514558,22.46817144116728,13.48218376923101,5.069006125390668,10.872541497937167,19.77236554419651,3.4011973816621555,-0.4307829160924542,-2.3025850929940455,0
장화신은 고양이,2012-01-12,0.0,애니메이션,3,0.0,1.0,1,6.385194398997726,42.01191300907203,14.547952487398328,22.45149996049015,13.315008132821353,5.170551521167303,11.282026921282952,20.35020450941458,3.427514689979529,-1.3862943611198906,-2.995732273553991,0
인투 더 스톰,2014-08-28,0.0,액션,2,1.0,0.0,1,6.371611847231857,41.926233766384655,14.547153188737905,22.0624542382282,13.06652926276357,5.0848722784799225,11.484875723523471,20.388559799676454,3.1441522786722644,-1.3862943611198906,-2.3025850929940455,1
로건,2017-03-01,0.0,액션,0,1.0,0.0,1,6.860663671448287,42.011331869418306,14.543099744128362,22.477573653963066,13.392827060538725,5.169970381513577,12.453928321439516,21.54681981491356,3.246490991901174,-0.5108256237659907,-1.6094379124341003,0
뷰티 인사이드,2015-08-20,1.0,기타,2,0.0,1.0,1,6.473890696352274,41.926034859821684,14.535273865827117,22.338991545890035,13.324453247180244,5.084673371916949,11.647465099148372,20.581254015490376,2.9391619220655967,-0.5978370007556204,-2.995732273553991,0
혹성탈출: 종의 전쟁,2017-08-15,0.0,액션,2,1.0,0.0,1,6.92461239604856,41.96837051560573,14.533793667469519,22.275311531787064,13.196503777603684,5.127009027700996,13.250404727285213,22.276884375097396,3.3843902633457743,-1.0498221244986778,-2.3025850929940455,0
봉이 김선달,2016-07-06,1.0,기타,2,0.0,1.0,1,6.848005274576363,41.927236196432425,14.530695121794077,21.988894391152296,12.976680742267899,5.08587470852769,11.825551337974238,20.746317298707115,3.502549875922443,-0.7985076962177716,-2.995732273553991,1
노아,2014-03-20,0.0,기타,1,0.0,1.0,1,6.858565034791365,41.88569480518837,14.52185724054467,22.286506165568415,13.29924516544792,5.044333317283642,12.086049602930443,20.973707929297387,4.09933210373314,-0.4307829160924542,-2.3025850929940455,0
레버넌트: 죽음에서 돌아온 자,2016-01-14,0.0,기타,1,1.0,0.0,1,6.874198495453294,41.92321842934301,14.512241309855572,22.35472049410081,13.326994221118118,5.081856941438276,11.729213571327456,20.66450472771134,3.4531571205928664,-0.6931471805599453,-2.995732273553991,1
페르시아의 왕자: 시간의 모래,2010-05-27,0.0,액션,2,1.0,0.0,1,6.345636360828596,41.83298741230479,14.51042268009813,22.280342832655418,13.326464364501222,4.991625924400056,11.339868855693082,20.213560418849035,3.6109179126442243,-1.0498221244986778,-2.995732273553991,0
